Annual Utility Cost [$/ft^2/year]*	Upfront Construction cost [$]	Upfront Construction cost [construction cost unit]	payback period [yrs]	simple Annualized ROI  [%]
1.61			
				
				
1.60	1,225	0.06	0.22	458
1.59	3,004	0.15	2.62	32
1.59	3,705	0.19	2.81	29
				
1.60	1,834	0.09	1.95	45
1.59	4,896	0.25	4.12	18
1.55	4,826	0.24	1.42	64
1.55	5,877	0.30	1.91	46
1.58	85,000	4.27	4.06	18
1.60	83,000	4.17	6.16	10
1.59	87,000	4.37	9.03	4
1.59	119,605	6.01	40.42	0
1.57	137,317	6.90	35.51	0
1.56	160,602	8.07	41.56	0
1.59	239,723	12.05	159.99	0
1.57	235,989	11.86	95.59	0
1.56	243,457	12.23	83.76	0
1.58	85,006	37.00	1.71	52
1.57	86,155	37.50	2.18	39
1.56	539	0.02	0.12	807
1.55	1,036	0.03	0.29	342
1.52	3,236	0.30	0.18	547
1.51	39,000	1.20	2.08	41
